player_id,is_bot,vpip,pfr,af,action_entropy,decision_time_mean,decision_time_std,bet_size_mean,bet_size_std,gto_similarity,gto_deviation_rate,mean_gto_action_probability,mean_l1_gto_distance,std_l1_gto_distance,avg_hand_strength,weak_hand_play_rate,trash_hand_vpip,premium_hand_play_rate,strong_hand_aggression_rate,marginal_hand_error_rate,gto_fold_follow_rate,gto_call_follow_rate,gto_raise_follow_rate,open_raise_accuracy,defense_accuracy,threebet_accuracy,blind_defense_rate,blind_defense_accuracy,sb_steal_attempt_rate,pot_odds_call_accuracy,hands_played,sessions_played,fatigue_slope
P00001,0,0.7323943661971831,0.36619718309859156,1.0,0.9908134835938673,5.633979777950457,1.3745679107187498,2.669981262890355,2.323207336770323,0.5492957746478874,0.45070422535211263,0.47523575329637646,1.0495284934072475,0.42996837143275213,50.67605633802817,0.46153846153846156,0.4375,0.8888888888888888,0.5,0.5925925925925926,0.625,0.5,0.5217391304347826,0.5471698113207547,0.5294117647058824,1.0,0.6,0.4,0.3333333333333333,0.4,71,2,0.12539682539682545
P00002,0,0.7236842105263158,0.40789473684210525,1.2916666666666667,0.9877756484353132,6.13671523748386,1.6934708104656069,2.557741827412811,1.9503455437479522,0.6052631578947368,0.39473684210526316,0.492155718724002,1.015688562551996,0.44289069168308515,47.23684210526316,0.45454545454545453,0.36,1.0,0.8888888888888888,0.5,0.5483870967741935,0.5,0.8823529411764706,0.6166666666666667,0.5625,0.0,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.6551724137931034,76,2,-0.05263157894736836
P00003,0,0.74,0.42,1.3125,0.9823377807251229,5.815413004405805,1.2885747688635922,2.7904763102878314,2.248644700577305,0.52,0.48,0.4599595078043607,1.0800809843912784,0.445334466311882,49.64,0.4444444444444444,0.35714285714285715,1.0,0.6,0.4545454545454546,0.5882352941176471,0.4,0.6153846153846154,0.4864864864864865,0.5833333333333334,1.0,0.5555555555555556,0.7777777777777778,0.8,0.5333333333333333,50,1,-0.08000000000000007
P00004,0,0.7285714285714285,0.3,0.7,0.9814905907829136,5.819128279593194,1.3874975406517944,2.0397858420964794,1.704507804873581,0.5571428571428572,0.44285714285714284,0.46287907852135673,1.0742418429572864,0.4244841355214285,48.714285714285715,0.4666666666666667,0.4117647058823529,1.0,0.7142857142857143,0.3928571428571429,0.5185185185185185,0.52,0.6666666666666666,0.5573770491803278,0.42857142857142855,1.0,0.7142857142857143,0.5714285714285714,0.3333333333333333,0.65,70,2,-0.2
P00005,0,0.7777777777777778,0.3194444444444444,0.696969696969697,0.9615340454583159,6.18250642290485,1.6117473175054347,2.1958606837767527,1.7314812581189944,0.5555555555555556,0.4444444444444444,0.4603980422770648,1.0792039154458704,0.410502233868777,51.361111111111114,0.6153846153846154,0.5555555555555556,1.0,0.6923076923076923,0.5384615384615384,0.42857142857142855,0.5862068965517241,0.6363636363636364,0.5454545454545454,0.5882352941176471,0.0,0.6666666666666666,0.5555555555555556,0.0,0.5263157894736842,72,2,-0.05555555555555558
P00006,0,0.581081081081081,0.24324324324324326,0.72,0.9784902713147297,5.860727133198955,1.6995721421217351,2.84377189269504,2.7434959168160002,0.5,0.5,0.48749556079959777,1.0250088784008045,0.5113312632337955,49.17567567567568,0.25806451612903225,0.30434782608695654,0.8333333333333334,0.3076923076923077,0.6,0.7333333333333333,0.4,0.2631578947368421,0.4791666666666667,0.5384615384615384,0.0,0.6,0.6666666666666666,0.25,0.5238095238095238,74,2,-0.027027027027026973
P00007,0,0.7790697674418605,0.20930232558139536,0.3673469387755102,0.8933430763506864,6.003448117116932,1.5921614720016535,2.118370122726465,1.956687921743834,0.46511627906976744,0.5348837209302326,0.4537352464988969,1.092529507002206,0.4434878858695857,51.95348837209303,0.5333333333333333,0.4117647058823529,1.0,0.125,0.45945945945945943,0.48148148148148145,0.6,0.25,0.3793103448275862,0.6296296296296297,1.0,0.7333333333333333,0.5333333333333333,0.2222222222222222,0.42424242424242425,86,2,0.046511627906976716
P00008,0,0.5625,0.3125,1.25,0.9755307720176266,5.597360086009154,1.6869448701341136,3.020383923247161,3.53203232359418,0.55,0.44999999999999996,0.5084827138658795,0.983034572268241,0.4853549470535356,45.575,0.23684210526315788,0.25,1.0,0.5555555555555556,0.6551724137931034,0.7222222222222222,0.3103448275862069,0.6,0.5151515151515151,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.5555555555555556,80,2,0.0
P00009,0,0.6666666666666666,0.30158730158730157,0.8260869565217391,0.9972437784840059,5.922547053790239,1.5353756437044959,2.3607049100860893,1.592420017846276,0.5714285714285714,0.4285714285714286,0.48329448784714596,1.0334110243057082,0.4702184254675273,48.17460317460318,0.4482758620689655,0.23529411764705882,0.6666666666666666,0.25,0.45833333333333337,0.6153846153846154,0.55,0.5294117647058824,0.6222222222222222,0.47058823529411764,0.0,0.7,0.7,0.42857142857142855,0.6842105263157895,63,2,0.1723790322580645
P00010,0,0.5932203389830508,0.288135593220339,0.9444444444444444,0.9890767241404288,5.933206683381454,1.6037789172715513,2.5974130405749274,2.0852272246258727,0.6101694915254238,0.38983050847457623,0.4972877600511365,1.005424479897727,0.4769060798637781,47.52542372881356,0.23076923076923078,0.16666666666666666,1.0,0.8333333333333334,0.631578947368421,0.782608695652174,0.42105263157894735,0.5882352941176471,0.6521739130434783,0.4166666666666667,1.0,0.5555555555555556,0.3333333333333333,0.0,0.5625,59,1,0.1827586206896551
